message,intent,confidence,evidence_score,composite_risk,decision,gate_triggered,reply,backend
My iPhone won't turn on after the latest iOS update,software_update,0.7702335471417976,0.6004,"All gates passed: confidence=0.77, evidence_score=0.60, composite_risk=0.31, 5 examples retrieved.",AUTO_HANDLE,"All gates passed: confidence=0.77, evidence_score=0.60, composite_risk=0.31, 5 examples retrieved.",@645373 Thanks for reaching out to us. We certainly want to help out with this. Have you tried updating using iTunes?,template
I was charged twice on my App Store purchase,other,0.7089303238424748,0.5149,"All gates passed: confidence=0.71, evidence_score=0.51, composite_risk=0.39, 5 examples retrieved.",AUTO_HANDLE,"All gates passed: confidence=0.71, evidence_score=0.51, composite_risk=0.39, 5 examples retrieved.",@258779 We'll certainly want to look into this for you. Use this link to reach out to our iTunes Support team: https://t.co/SDIe7UiyJN,template
"I can't log into my Apple ID, it says my account is locked",account_access,0.9994309345548693,0.6189,Intent 'account_access' is high-risk (financial/security). Always requires human review.,ESCALATE,Intent 'account_access' is high-risk (financial/security). Always requires human review.,@610144 We'd be happy to see how we can help. Have you tried resetting your password yet? Here's how: https://t.co/fJnZYmbI9N https://t.co/GDrqU22YpT,template
My AirPods won't connect to my iPhone,other,0.978677624784572,0.5386,"All gates passed: confidence=0.98, evidence_score=0.54, composite_risk=0.24, 5 examples retrieved.",AUTO_HANDLE,"All gates passed: confidence=0.98, evidence_score=0.54, composite_risk=0.24, 5 examples retrieved.",@189525 We know how exciting the AirPods are! We'll help with that connection. Are you getting any errors or what are you seeing?,template
How do I check my AppleCare warranty status?,warranty_repair,0.9999981684906614,0.4909,"All gates passed: confidence=1.00, evidence_score=0.49, composite_risk=0.25, 5 examples retrieved.",AUTO_HANDLE,"All gates passed: confidence=1.00, evidence_score=0.49, composite_risk=0.25, 5 examples retrieved.",@403037 Our iTunes Store support can help. Reach out here:  https://t.co/SDIe7UiyJN,template
iCloud backup keeps failing with not enough storage,icloud_sync,0.9999886547955011,0.4621,"All gates passed: confidence=1.00, evidence_score=0.46, composite_risk=0.27, 5 examples retrieved.",AUTO_HANDLE,"All gates passed: confidence=1.00, evidence_score=0.46, composite_risk=0.27, 5 examples retrieved.",@367396 Please meet with us in DM. We'd like to work with you there. https://t.co/GDrqU22YpT,template
"The screen on my MacBook is cracked, how do I get it repaired?",device_hardware,0.554622623687179,0.4522,Classifier confidence 0.55 < threshold 0.6. Intent prediction is uncertain.,ESCALATE,Classifier confidence 0.55 < threshold 0.6. Intent prediction is uncertain.,"@806470 Hey, we know it's not ideal to come across issues on your new iPhone. We'll help you out. To clarify, does the upper portion of the display not respond to touch or are you referring to the notification being cut off? Does restarting your iPhone resolve the issue?",template
App keeps crashing every time I open it,app_issue,0.9921281217567554,0.607,"All gates passed: confidence=0.99, evidence_score=0.61, composite_risk=0.20, 5 examples retrieved.",AUTO_HANDLE,"All gates passed: confidence=0.99, evidence_score=0.61, composite_risk=0.20, 5 examples retrieved.",@515106 We want to get down to the bottom of this with you. DM us so we can continue troubleshooting. https://t.co/GDrqU22YpT,template
still waiting,other,0.9993722429658226,0.3861,"All gates passed: confidence=1.00, evidence_score=0.39, composite_risk=0.31, 5 examples retrieved.",AUTO_HANDLE,"All gates passed: confidence=1.00, evidence_score=0.39, composite_risk=0.31, 5 examples retrieved.","@250296 We apologize for the delay but we still haven't received your DM. Are you using the native Twitter app? If so, please make sure it's the most up-to-date version. Let us know what you find out. https://t.co/GDrqU22YpT",template
This is absolutely terrible service,other,0.9986756674853907,0.363,"All gates passed: confidence=1.00, evidence_score=0.36, composite_risk=0.32, 5 examples retrieved.",AUTO_HANDLE,"All gates passed: confidence=1.00, evidence_score=0.36, composite_risk=0.32, 5 examples retrieved.","@567107 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU2kzhr",template
